城市,区域,道路号,小区
上海,黄浦,(黄浦新天地)建国东路328弄1-22号,建德坊
上海,嘉定,(嘉定江桥)金耀南路299弄,绿地新江桥城三期
上海,嘉定,"(嘉定菊园新区)秋竹路618弄, 秋竹路655弄, 秋竹路603号, 秋竹路605号",合景叠翠峰苑
上海,闵行,(闵行闵浦)闵驰一路29弄,聚缘南庭
上海,浦东,"(浦东张江)青桐路18弄（一期、二期）,青桐路199弄（三期北区）,青桐路358弄（三期南区）",中芯花园18弄
上海,静安,(静安彭浦)江杨南路466弄,和源名城
上海,松江,(松江泗泾)泗凯路415弄,新凯城钟秀苑
上海,宝山,"(宝山高境)何家湾路111弄, 国权北路828弄, 高逸路201弄, 何家湾路125号, 高逸路226号, 何家湾路113号, 何家湾路102号",美岸栖庭(公寓)
上海,浦东,(浦东康桥)沪南路2688弄,绿地康桥新苑
上海,闵行,"(闵行春申)莲花南路1108弄, 莲花南路1288弄, 莲花南路1188弄58号, 莲花南路1288弄1-92号",上海春城
上海,杨浦,(杨浦中原)国和二村,国和二村
上海,闵行,(闵行金虹桥)张虹路125弄,海申花园
上海,闵行,(闵行闵浦)浦涛路751弄,水语人家南苑
上海,黄浦,(黄浦蓬莱公园)保屯路99弄,黄浦华庭
上海,奉贤,"(奉贤西渡)西闸公路1118弄,扶港路399弄,新南家园",新南家园
上海,闵行,(闵行闵浦)江协路51弄,金硕河畔景园西区
上海,徐汇,"(徐汇龙华)龙南三村, 龙南四村",龙南三四村
上海,闵行,"(闵行闵浦)江文路201弄, 江文路125弄",浦江宝邸
上海,宝山,"(宝山上大)聚丰园路628弄, 聚丰园路670号",聚丰景都
上海,浦东,(浦东世博)齐恒路177弄,凯德嘉博名邸
上海,松江,"(松江松江大学城)广富林路1188弄, 广富林路1202号",保利西子湾
上海,虹口,"(虹口临平路)物华路246弄, 物华路236号, 物华路234号, 物华路232号, 物华路230号",爱家豪庭
上海,徐汇,"(徐汇漕河泾)虹漕路3号, 虹漕路21号, 虹漕路23号, 虹漕路19弄",华悦家园
上海,黄浦,"(黄浦蓬莱公园)西凌家宅路27弄,西藏南路1374弄,西凌家宅路111弄,西凌家宅路137弄,制造局路365弄,制造局路455弄,制造局路567弄",西凌新?
上海,长宁,(长宁中山公园)武夷路555弄23-34号,路易凯旋宫
上海,浦东,(浦东金桥)利津路729弄,丽都成品
上海,静安,(静安闸北公园)平型关路377弄,嘉利明珠城
上海,徐汇,"(徐汇华泾)华发路406弄,华发路368弄",馨宁公寓
上海,杨浦,(杨浦黄兴公园)营口路789弄,佳泰花园
上海,嘉定,(嘉定江桥)金耀路333弄,中房公寓
上海,闵行,(闵行老闵行)银春路1799弄,夏朵园
上海,嘉定,(嘉定江桥)鹤霞路555弄,水岸金桥苑
上海,黄浦,"(黄浦董家渡)河南南路1001弄（一期）, 河南南路1009弄（一期）, 江阴街34、36号, 河南南路868弄",明日星城（一期）
上海,闵行,(闵行莘庄)沪闵路5366弄,春申府邸
上海,普陀,(普陀桃浦)雪松路458弄,桃浦七村雪松苑
上海,嘉定,"(嘉定菊园新区)秋竹路801弄,秋竹路802弄",万科金色领域
上海,闵行,(闵行闵浦)先新路1058弄,浦江馨都
上海,普陀,"(普陀真如)桃浦路321弄（一期）, 桃浦路300弄（二期、三期）, 桃浦路327号, 桃浦路325号, 桃浦路329号",星河世纪城
上海,静安,(静安静安寺)万航渡路458弄,嘉园
上海,长宁,(长宁天山)威宁路511弄,天山怡景苑
上海,浦东,(浦东碧云)碧云路199弄,金桥爱建园
上海,奉贤,(奉贤西渡)文怡花园,文怡花园
上海,嘉定,"(嘉定丰庄)丰庄西路551弄,丰庄北路151弄,丰庄西路433弄",丰庄十四街坊
上海,松江,"(松江泗泾)泗凤公路508弄, 泗通路155弄, 泗通路198弄, 泗宝路298弄",金地褐石苑
上海,嘉定,(嘉定丰庄)丰庄二村,丰庄二村
上海,浦东,"(浦东金杨)金口路471弄,金口路411弄,枣庄路810弄,枣庄路998弄",金杨七街坊
上海,嘉定,"(嘉定江桥)申江路19弄,曲江路100弄,丰江路128弄,曲江路201弄,曲江路185弄,曲江路99弄,曲江路15弄,曲江路16弄,华江公路107弄",江桥二村
上海,松江,"(松江松江大学城)广富林路1599弄,梅家浜路1508弄",三湘四季花城
上海,浦东,"(浦东康桥)康佳路38弄,康佳路39弄",康桥月苑
上海,黄浦,"(黄浦蓬莱公园)海潮路3号,海潮路33号,海潮路93弄,陆家浜路388号,陆家浜路418号",中福花苑
上海,嘉定,(嘉定江桥)金园一路1118弄,金鹤新城双佳翠庭
上海,浦东,"(浦东金桥)台儿庄路363弄（一期）,荷泽路828弄（二期）,长岛路1280弄（三期）",金桥湾清水苑
上海,宝山,"(宝山共富)共富一村,共富路99弄",共富一村
上海,静安,"(静安大宁)共和新路2399弄（一期）,广延路555弄（二期）",宝华现代城
上海,嘉定,(嘉定南翔)德华路79弄,绿地清猗园(威廉公馆三期)
上海,闵行,(闵行静安新城)宜山路2328弄,九歌上郡
上海,静安,(静安南京西路)陕西北路288号,骏豪国际
上海,虹口,(虹口临平路)临平路333号,瑞虹新城(一期)
上海,松江,"(松江九亭)九杜路505弄, 亭知路797",摩卡小城
上海,徐汇,(徐汇万体馆)龙华西路315弄,华富小区
上海,杨浦,"(杨浦控江路)凤城三村, 长岭路75弄, 延吉西路80弄, 黄兴路1413弄, 江浦路2000弄, 长岭路60弄, 黄兴路1061号, 黄兴路1063号, 黄兴路1057号, 黄兴路1059号",凤城三村西区
上海,奉贤,(奉贤西渡)沪杭公路418弄,巨龙台湾城
上海,宝山,"(宝山大华)真大路399弄（晶悦都汇）,真大路420弄（水岸华府）,真朋路99弄（水岸华府）",中环一号(三期)
上海,虹口,"(虹口临平路)临平路133弄, 临平路123号",瑞虹新城二期(优贤生活)
上海,浦东,"(浦东金杨)枣庄路658弄,金口路53弄,金口路155弄,枣庄路552弄",金杨新村三街坊
上海,静安,"(静安西藏北路)育婴堂路38弄, 育婴堂路39弄, 京江路108弄, 育婴堂路65号",和源馨苑
上海,松江,(松江泗泾)王家厍路55弄,紫薇茗庭
上海,虹口,"(虹口鲁迅公园)恒业路388弄,恒业路398号",恒业公寓
上海,杨浦,"(杨浦鞍山)双辽支路60弄,双辽新村",双辽新村
上海,静安,"(静安大宁)广延路1188弄（三期）, 共和新路2999弄（一期）",明园森林都市
上海,浦东,"(浦东杨思前滩)西营南路17弄,西营南路67弄",恒大华城天地苑
上海,闵行,"(闵行春申)莘朱路863弄,莘朱路879弄",高兴花园
上海,徐汇,(徐汇田林)田林十四村,田林十四村
上海,宝山,(宝山顾村)联杨路1078弄,保利叶上海(二期)
上海,黄浦,(黄浦世博滨江)中山南一路500弄,融创滨江壹号院
上海,浦东,(浦东三林)御桥路288弄,未来域
上海,浦东,"(浦东陆家嘴)浦明路99弄（一、二期）,浦城路99弄（三期）",仁恒滨江园
上海,青浦,"(青浦赵巷)崧漪一路46弄, 崧漪一路55弄, 秀涓路492弄, 秀涓路338弄",崧泽华城华中苑
上海,松江,"(松江九亭)沪亭路240弄, 沪亭路242号",美丽星城
上海,闵行,(闵行静安新城)漕宝路1467弄七区,九歌花园
上海,闵行,(闵行金虹桥)虹许路788号,名都城(公寓)
上海,闵行,(闵行七宝)沪松公路565弄,水清年华花园
上海,浦东,"(浦东陆家嘴)浦明路233弄, 浦东新区",江临天下
上海,松江,"(松江泗泾)横港路155弄, 古楼公路348弄, 古楼公路312、314号",金港花园(公寓)
上海,松江,"(松江九亭)沪亭北路338弄,涞寅路505弄",贝尚湾(公寓)
上海,奉贤,"(奉贤南桥)江海新村, 育秀路906号",江海新村
上海,浦东,(浦东张江)紫薇路667弄1-177号,阳光花城
上海,宝山,(宝山上大)南陈路278弄,慧华苑
上海,浦东,(浦东杨思前滩)杨思路860弄,世华锦城
上海,松江,(松江泗泾)城鸿路222弄,新凯城银杏苑
上海,普陀,(普陀桃浦)白丽路701弄,桃浦十村（紫藤苑小区白丽路701弄）
上海,浦东,"(浦东世博)成山路608弄, 成山路544弄52支弄, 成山路648弄1-6号",恒大小区
上海,浦东,(浦东金杨)博山东路811弄,东方知音苑
上海,浦东,"(浦东御桥)御青路228弄,御青路328弄,御山路347弄",御桥花园
上海,浦东,"(浦东世博)济阳路95弄, 西营路170弄, 德州路420弄, 德州路436号, 德州路432号, 德州路430号, 德州路434号, 德州路438号, 德州路440号, 德州路442号, 德州路444号, 德州路446号, 德州路448号, 德州路450号, 德州路452号, 德州路454号, 德州路456号",济阳一村
上海,嘉定,"(嘉定嘉定新城)云屏路1188弄,云屏路1199弄",盘古天地
上海,普陀,"(普陀长征)真光路962弄,真光路1058弄",真源小区
上海,嘉定,"(嘉定嘉定新城)云谷路1388弄,云谷路1288弄",龙湖蔚澜香醍
上海,长宁,"(长宁新华路)安顺路165号, 安顺路181弄, 安顺路183号, 安顺路169号, 安顺路179号, 安顺路187号, 安顺路191号",安东小区
上海,宝山,(宝山杨行)蕴川路1498弄,天馨花园(公寓)
上海,浦东,(浦东联洋)丁香路1299弄,仁恒河滨城(三期)
上海,浦东,"(浦东北蔡)高科西路2111弄1-166号, （博文路1679弄）",锦博苑
上海,奉贤,(奉贤海湾)海马路5888弄,绿地香颂(奉贤)(别墅)
上海,宝山,(宝山顾村)菊泉街577弄,宝沁苑
上海,浦东,(浦东川沙)新德西路508弄,舒馨北苑
上海,宝山,(宝山顾村)宝菊路22弄,保利叶语(一期)(公寓)
上海,虹口,(虹口鲁迅公园)东体育会路75号,东体育会路75号
上海,奉贤,"(奉贤南桥)江南路100号, 江南路282号",江海二村(奉贤)
上海,青浦,"(青浦夏阳)盈港东路8000弄, （华盈路1085弄）",宜达新居
上海,普陀,"(普陀甘泉宜川)沪太路710弄,沪太路750弄,宜川四村,宜川四村",宜川四村
上海,浦东,(浦东三林)三林路1662弄5-173号,三林安居苑
上海,浦东,(浦东三林)三林路1300弄,万科金色雅筑
上海,普陀,"(普陀甘泉宜川)交通西路108弄,交通西路188弄",平江盛世家园
上海,松江,(松江泗泾)德悦路501弄,塘和家园德悦苑
上海,宝山,"(宝山杨行)红林路58弄, 红林路158弄, 红林路34号",荣域飘鹰锦和花园(公寓)
上海,浦东,"(浦东世博)成山路300弄, 洪山路301弄, 成山路350弄（杨高支路350弄）",上南十村
上海,浦东,(浦东北蔡)锦绣路2466弄,陆家嘴锦绣前城
上海,普陀,(普陀甘泉宜川)新村路248弄,新长小区
上海,浦东,(浦东杨东)锦和路99弄,上海绿城
上海,闵行,(闵行闵浦)江航路378弄,浦江丽都
上海,浦东,(浦东杨思前滩)东书房路560弄（爱博路560弄）,三林世博家园(东书房路560弄)
上海,徐汇,(徐汇植物园)龙吴路1343弄,华沁家园
上海,浦东,(浦东北蔡)成山路2008弄,大华锦绣华城(十八街区)(公寓)
上海,徐汇,(徐汇万体馆)龙漕路135弄,凯翔小区
上海,普陀,"(普陀武宁)东新路88弄（一、二期）, 东新路88弄30、40",新湖明珠城（一二期）
上海,浦东,"(浦东张江)孙环路177弄（A块）, 孙耀路111弄（B块）, 孙耀路128弄（C块）, 孙建路815弄, 孙耀路288弄, 孙环路377弄, 孙环路377弄1-32号",申城佳苑
上海,青浦,"(青浦白鹤)绿地时代名邸 1-79号, 白虬江路100号",绿地时代名邸
上海,浦东,(浦东宣桥)南六公路399弄,艺泰安邦
上海,闵行,(闵行浦江)永恩路80弄1-11号,永康城丹桂苑
上海,宝山,(宝山罗泾)潘泾路4777弄,旭辉澜悦湾
上海,闵行,"(闵行老闵行)昆阳路540弄, 昆阳路420弄, 昆阳路580弄, 昆阳路550弄, 昆阳路520弄, 昆阳路570弄, 昆阳路560弄, 昆阳路600弄, 昆阳路620弄, 天星路251弄, 天星路241弄",昆阳小区
上海,奉贤,(奉贤奉贤金汇)金碧路1980弄,金碧汇虹苑
上海,嘉定,(嘉定徐行)汇源路518弄,首创旭辉城
上海,嘉定,"(嘉定外冈)瞿门路399弄,恒飞路488弄,恒飞路489弄",外冈新苑
上海,嘉定,(嘉定徐行)汇旺东路1188弄,天居玲珑湾
上海,青浦,(青浦金泽)沪青平公路8600号,威尼斯花园
上海,奉贤,(奉贤奉城)紫苑小区,紫苑小区
上海,青浦,(青浦白鹤)启航城,绿地启航城
上海,奉贤,(奉贤海湾)海马路4333弄,佳兆业珊瑚湾(公寓)
上海,奉贤,(奉贤西渡)肖塘路146弄,乐康苑
上海,青浦,"(青浦香花桥)新园路508弄,新园路509弄",都汇华庭
上海,松江,(松江佘山)外青松公路8228弄,陈坊新苑
上海,松江,"(松江佘山)桃源西路388弄（一期）, 桃源路688弄（二期）",江秋新苑(公寓)
上海,奉贤,(奉贤柘林)新柘东路99弄,海岸景苑
上海,奉贤,"(奉贤海湾)金汇塘东路1799弄, 金汇塘东路1399弄, 金汇塘路388弄",棕榈滩海景城
上海,浦东,"(浦东祝桥)秋亭路88弄, 秋亭路88弄30号",朗诗未来树
上海,浦东,"(浦东临港新城)竹柏路366弄,竹柏路100弄,竹柏路333弄,竹柏路111弄",宜浩佳园
上海,嘉定,(嘉定外冈)恒荣路589弄,上海庄园三期
上海,浦东,(浦东宣桥)南六公路567弄,莱茵美墅
上海,青浦,(青浦徐泾)老沪青平公路168号,久事西郊花园
上海,浦东,"(浦东外高桥)草高支路766弄, 草高支路776号",和祥佳园
上海,浦东,"(浦东航头)航梅路525弄1、2、3、4、6支弄, 航梅路525弄5支弄",长达佳苑宜居尚城
上海,青浦,(青浦朱家角)绿湖路888弄,海上湾闻涧
上海,奉贤,(奉贤柘林)联业路859弄,海韵馨苑
上海,奉贤,(奉贤海湾)明城路1198弄,明城海湾新苑
上海,闵行,"(闵行闵浦)汇延路199弄, 鲁康路555弄, 汇延路258弄, 汇延路258弄1-17号",浦江瑞和城
上海,青浦,"(青浦朱家角)珠安路77弄, 浦祥路377弄, 复兴路88弄3支弄, 复兴路88弄4支弄, 复兴路88弄2支弄, 复兴路88弄1支弄",东方庭院(别墅)
上海,松江,(松江佘山)九江公路159弄,绿地海珀佘山
上海,闵行,(闵行古美)古美路718弄,康健丽都
上海,静安,"(静安彭浦)景凤路520弄,景凤路480弄",景凤小区
上海,浦东,"(浦东川沙)南桥路297弄, 南桥路289号, 南桥路291号, 南桥路293号, 南桥路295号, 南桥路299号, 南桥路301号, 南桥路303号, 南桥路305号, 南桥路307号, 南桥路309号, 南桥路311号, 南桥路313号",南桥小区
上海,杨浦,(杨浦新江湾城)殷行路850弄,新江湾时代花园
上海,宝山,(宝山上大)纬地路375弄,经纬弘汇地标家园
上海,闵行,(闵行古美)报春路399弄,新梅公寓一期
上海,虹口,(虹口曲阳)大连西路33号,大连西路33号
上海,静安,"(静安不夜城)大统路938弄, 中华新路741号",越秀苑
上海,静安,(静安大宁)延长中路800弄,永乐苑
上海,浦东,(浦东金杨)张杨路2855弄,上泰花苑
上海,普陀,(普陀武宁)白玉新村,白玉新村
上海,静安,(静安彭浦)汾西路88弄，临汾路80弄，汾西路87弄,临汾名城
上海,浦东,"(浦东联洋)迎春路837号, 丁香路910弄1-22号",联洋年华
上海,虹口,"(虹口江湾镇)丰镇路100弄,华严路228弄,华严路211弄",丰景湾名邸
上海,松江,(松江松江大学城)茸惠路1100弄,中山文化苑(一期)
上海,静安,(静安阳城)沪太路1051弄,景峰苑
上海,嘉定,(嘉定丰庄)双河路437弄,安盛苑
上海,杨浦,(杨浦五角场)三门路358弄,三门路358弄
上海,浦东,(浦东北蔡)成山路2388弄,宝华海尚郡领
上海,杨浦,"(杨浦黄兴公园)安波路297号,营口路866弄",兰馨雅苑
上海,浦东,(浦东张江)紫薇路750弄,兰沁苑
上海,长宁,(长宁中山公园)昭化路80-108号,耀华小区
上海,长宁,"(长宁新华路)长顺路21-81号, 长顺路95-100号, 中华新村94-100号(单号), 长顺路101号, 长顺路103号",中华小区
上海,闵行,(闵行七宝)七莘路2288弄,东方花园(一期)
上海,虹口,(虹口江湾镇)江杨南路55弄,江杨家园
上海,静安,(静安曹家渡)康定路1000弄,京元苑
上海,浦东,(浦东康桥)上南路6333弄,天台星城
上海,徐汇,(徐汇龙华)三江路88弄,西雅图嘉萱苑
上海,浦东,(浦东外高桥)大同路260弄,高桥一村
上海,虹口,"(虹口江湾镇)三门路747弄,三门路719弄",海尚逸苑
上海,闵行,(闵行莘庄)疏影路789弄,宝安新苑
上海,静安,"(静安江宁路)常德路519弄, 常德路545弄, 新闸路1640弄, 新闸路1644弄, 常德路545弄39-178号, 常德路545弄52号, 常德路545弄122号, 常德路545弄124号, 常德路545弄126号, 常德路495号, 常德路497号",又一村(静安)
上海,静安,(静安永和)共和新路3616弄,新悦坊
上海,徐汇,(徐汇建国西路)复兴中路1327号,伊丽莎白公寓
上海,奉贤,(奉贤南桥)南星新村,南星新村
上海,普陀,(普陀长风)枣阳路891弄,风华水岸
上海,宝山,(宝山大华)行知路50弄,复星花园(行知路50弄)
上海,杨浦,(杨浦五角场)国定路555弄,国定路555弄
上海,杨浦,"(杨浦黄兴公园)包头南路629弄,包头南路628弄",杨浦欣园
上海,闵行,(闵行梅陇)莘朱路1924弄,朱行四村
上海,静安,(静安永和)场中路2600弄,幸福第一公寓
上海,闵行,(闵行莘庄)莘浜路35弄14-61号,长寿新村(闵行)
上海,浦东,"(浦东洋泾)栖山路100弄, 民生路369弄, 栖山路90号, 栖山路92号, 栖山路94号, 栖山路96号, 栖山路98号, 栖山路112号, 栖山路114号",栖山小区
上海,闵行,(闵行浦江)浦申路200弄,浦江世博家园十街坊
上海,徐汇,"(徐汇华东理工)梅陇路130号,梅陇路华理苑",华理苑
上海,宝山,"(宝山顾村)电台路599弄, 教育路516号",丰水宝邸(西苑)
上海,闵行,(闵行古美)万源路400弄,望族新苑
上海,浦东,(浦东川沙)上海市浦东新区海霞路685弄,海霞佳苑
上海,闵行,(闵行老闵行)凤庆路58弄,畅馨园
上海,奉贤,(奉贤南桥)正环路666弄1-12号,正阳世纪星城丽骏湾
上海,静安,(静安曹家渡)长宁路269弄,静安风华苑
上海,普陀,(普陀长征)同普路1680弄,建德花园玫瑰苑(公寓)
上海,浦东,"(浦东张江)杨镇路60弄, 杨镇路65弄, 杨镇路76弄, 杨镇路81弄, 杨镇路97弄, 龙三路70弄, 龙三路84弄, 龙三路98弄, 龙三路122弄, 龙三路136弄, 龙三路152弄, 龙三路166弄, 龙三路180弄, 杨镇路111弄",杨镇新村
上海,徐汇,"(徐汇康健)桂平路258弄,桂平路260弄,桂平路296弄",桂平小区
上海,浦东,(浦东洋泾)张杨路2228弄,张杨花苑
上海,奉贤,(奉贤西渡)西闸路1575号,祥和花园
上海,浦东,"(浦东惠南)康锦路52弄,靖海南路488弄",康敏苑
上海,宝山,(宝山大华)华灵路1351弄,北华苑
上海,黄浦,(黄浦老西门)大吉路135弄,实华公寓
上海,青浦,(青浦白鹤)绿地时代嘉苑,绿地时代嘉苑
上海,闵行,(闵行莘庄)富都路111弄,都市星城
上海,普陀,(普陀长征)金沙江路2208弄,金沙雅苑(二期)
上海,黄浦,"(黄浦蓬莱公园)瞿溪路115号, 瞿溪路117号, 瞿溪路119号, 瞿溪路121号, 瞿溪路123号, 瞿溪路125号, 瞿溪路127号, 瞿溪路129号, 瞿溪路131号",瞿溪路115-131号
上海,黄浦,(黄浦蓬莱公园)陆家浜路688弄1-10号,金日世家
上海,宝山,(宝山上大)塘祁路577弄,保利叶之林(二期)
上海,黄浦,(黄浦新天地)马当路301弄3-27号,振华里小区
上海,嘉定,(嘉定南翔)陈翔公路1588弄,华润中央公园二期(陈翔公路1588弄)
上海,宝山,(宝山淞宝)泰和路678弄,泰和路678弄
上海,杨浦,(杨浦五角场)吉浦路395弄,吉浦小区
上海,杨浦,"(杨浦中原)黑山路8弄, 政立路6弄",黑山小区
上海,浦东,(浦东北蔡)严桥路19弄,由由民丰苑
上海,闵行,"(闵行龙柏)龙柏四村154-232号, 兰竹路17弄",龙柏四村三小区
上海,静安,(静安大宁)洛川中路1100弄,洛川中路1100弄
上海,长宁,(长宁古北)荣华西道38弄1-17号,碧玉公寓
上海,普陀,"(普陀甘泉宜川)延长西路150弄,延长西路220弄",合阳小区
上海,闵行,(闵行颛桥)都市路778弄,都市富苑
上海,宝山,(宝山罗店)罗迎路558弄,顺驰美兰湖
上海,长宁,(长宁新华路)新华路726号,新华世纪园
上海,宝山,(宝山罗店)美丰路88弄,上置香岛原墅(别墅)
上海,杨浦,"(杨浦东外滩)长阳路1318弄, 长阳路1326号",长阳新苑
上海,松江,"(松江松江大学城)广富林路658弄, 光星路1578号, 光星路1600号, 光星路1550号, 光星路1552号, 光星路1556号, 光星路1558号, 光星路1560号, 光星路1562号, 光星路1564号, 光星路1566号, 光星路1568号, 光星路1570号, 光星路1572号, 光星路1576号, 光星路1580号, 光星路1582号, 光星路1586号, 光星路1588号, 光星路1590号, 光星路1592号, 光星路1596号, 光星路1598号, 光星路1602号, 光星路1604号, 光星路1606号",万达广场(松江)
上海,静安,"(静安西藏北路)南星路50号（南星大楼3号楼）, 南星路70号（南星大楼4号楼）, 新疆路465号（南星大楼5号楼）, 天目中路480号（南星大楼2号楼）, 天目中路460号（南星大楼1号楼）, 新疆路425号（南星大楼7号楼）, 新疆路445号（南星大楼6号楼）",南星小区
上海,浦东,(浦东高行)巨峰路995弄,华高一村
上海,黄浦,(黄浦老西门)蓬莱路362弄,蓬莱路362弄
上海,浦东,"(浦东金杨)金桥路1502弄,金桥路1504弄,金桥路1498弄,金桥路1490弄,金桥路1500弄,金桥路1506弄,金桥路1508弄,金桥路1510弄",金台三居
上海,静安,(静安闸北公园)延长路152弄1-22号,锦灏佳园
上海,浦东,(浦东曹路)民春路516弄,丰舍东苑
上海,普陀,"(普陀中远两湾城)中山北路1482号,中山北路1412号",万业新阶
上海,闵行,(闵行老闵行)银春路1800弄,飞碟苑
上海,浦东,(浦东川沙)新川路279弄,新川小区
上海,虹口,(虹口曲阳)密云路471弄,赤一小区
上海,普陀,(普陀长风)梅川路947弄,金玉苑（一期）
上海,徐汇,"(徐汇徐家汇)秀山路15弄, 虹桥路411弄1-4号（虹桥大楼）, 秀山路7弄",乐山八九村
上海,浦东,(浦东唐镇)齐爱路168弄,绿城玉兰花园(二期)
上海,浦东,"(浦东外高桥)花山路1001弄,海高二村",海高二村
上海,闵行,(闵行七宝)新龙路1058弄,华莘花园
上海,闵行,"(闵行梅陇)莲花南路155弄, 上中西路1268号, 莲花南路171-2临, 莲花南路171弄",世纪苑
上海,黄浦,(黄浦世博滨江)中山南一路198弄,中南小区
上海,浦东,(浦东外高桥)潼港六村,潼港六村
上海,嘉定,(嘉定嘉定老城)南苑五村,南苑五村
上海,徐汇,"(徐汇龙华)龙华西路31弄52-73号, 龙华西路81弄70-92号",海波花苑
